type,input,output,A,B,C,D,E
dentist,방사선영상 촬영 시 노출조건에 관한 설명으로 옳은 것은?,Choice 3,여과를 하면 방사선영상 흑화도가 증가한다.,관전류를 증가시키면 X선광자의 에너지가 증가한다.,관전압을 증가시키면 X선광자의 투과력이 증가한다.,관전압을 증가시키면 방사선영상 대조도가 증가한다.,구내방사선촬영 시 관전류를 조절하여 방사선영상 흑화도를 조정하는 것이 일반적이다.
nurse,"16개월 아동이 목소리가 쉬어있고, 컹컹거리는 기침을 많이 하며, 흡기 시 천명이 나타나 급성 후두기관기관지염으로 진단받았다. 입원 중 아동의 증상을 완화시키기 위한 간호중재는?",Choice 5,진정제를 투여한다.,코를 세게 풀게 한다.,수분섭취를 제한한다.,설압자로 후두개를 검진한다.,네뷸라이저로 찬 증기를 흡입하게 한다.
nurse,분뇨로 인해 최근에 수질오염이 발생하였다면 확인할 수 있는 지표는?,Choice 5,불소,유기 수은,포름알데히드,유리 잔류염소,암모니아성 질소
pharm,국화과에 속하는 식물의 꽃에 함유된 matricin이 분해되어 생성되는 화합물로 항염증작용을 나타내는 것은?,Choice 2,arecoline,chamazulene,magnolol,(+ ) - matrine,pachyman
doctor,"기억 및 신경세포의 사망과 관련이 있으며, 정신분열병과도 관련있는 흥분성 아미노산 신경전달물질은?",Choice 4,도파민,글라이신,세로토닌,글루탐산염,감마아미노부티르산
doctor,「국민건강증진법」에 따라 병원에서 흡연실을 설치하는 기준 및 방법으로 옳은 것은?,Choice 5,옥외통로를 흡연구역으로 지정,흡연실에 재떨이와 탁자를 설치,병원 한 동을 흡연가능 병동으로 지정,자연환기가 가능한 병원내 휴게실을 흡연실로 지정,병원 출입구로부터 10미터 이상의 거리에 실외 흡연실 설치
pharm,"다음 사례를 읽고 각 문제에 적합한 답을 고르시오. 52세 여자가 얼굴 홍조와 야간 발한 증상이 있다.[병력] 전체자궁절제술(total hysterectomy) 외 특이병력 없음[가족력]  어머니: 골다공증[활력징후] 혈압 125/84 mmHg, 심박수 73회/분, 호흡수 18회/분[복용약물] 칼슘/비타민D(calcium/vitamin D) . 호르몬 치료 3년 후 정맥혈전증이 발생하여 치료를 중지하였다. 환자의 폐경 후 증상을 개선할 적절한 약물은?",Choice 5,타목시펜(tamoxifen),솔리페나신(solifenacin),미라베그론(mirabegron),바제독시펜(bazedoxifene),에스시탈로프람(escitalopram)
doctor,"42세 남자가 충동조절의 어려움으로 병원에 왔다. 2년 전 머리를 심하게 다친 후, 성격이 변하여 주변 사람들에게 유치한 유머를 하고, 폭력적이며 무책임한 행동을 자주 보였다. 신경심리검사에서 주의력 저하와 작동기억의 손상이 있었다. 관련된 부위는?",Choice 1,이마엽(frontal lobe),마루엽(parietal lobe),관자엽(temporal lobe),뒤통수엽(occipital lobe),시상하부(hypothalamus)
dentist,"아래 설명에 해당하는 봉합법은?
장력이 심한 곳에 주로 사용하며 방수 효과가 우수하다.
혈행이 많은 부위에 사용하면 지혈효과를 갖지만, 혈행을 감소시켜 치유를 지연시키는 단점이 있다.
부적절하게 봉합하는 경우 창상연의 괴사와 열개가 발생할 수 있다.",Choice 5,연속봉합,피하봉합,단순단속봉합,수직매트리스봉합,수평매트리스봉합
dentist,새롭게 제작한 총의치를 구강 내 시적하는 경우 우선적으로 평가하는 것은?,Choice 5,의치의 안정성,의치의 유지력,중심위의 재현성,수직고경의 적절성,의치상 인상면의 적합도
pharm,평소 안구건조증이 있는 29세 여자가 약국에 방문하여 눈이 시리고 이물감이 있다고 한다. 환자는 안구건조증 이외 안과적인 이상소견이나 병력은 없다. 약사가 이 환자에게 추천할 수 있는 일반의약품 점안액에 포함된 성분은?,Choice 5,트로픽아미드(tropicamide),사이클로스포린(cyclosporine),시클로펜톨레이트(cyclopentolate),플루오로메톨론(fluorometholone),카르복시메틸셀룰로오스나트륨(sodium carboxymethylcellulose)
dentist,II급 1류 부정교합에서 나타나는 구강안면 근육의 적응성 반응은?,Choice 1,이근의 과활성,상순 기능 과다,하순 기능 저하,상순 빨기 습관,혀와 상순에 의한 구강 밀봉
dentist,전신마취 전 환자평가에 있어 미국마취과학회(ASA) 신체상태 분류 중 3급에 해당하는 것은?,Choice 5,심한 치과공포증을 가진 10세 소년,혈압이 130/85 mmHg로 조절되는 70세 남자,전신질환은 없지만 몸무게가 110kg인 30세 여자,불안정협심증으로 니트로글리세린을 투여하는 환자,1년 전 심근경색으로 스텐트 시술을 받은 50세 남자
pharm,"다음 사례를 읽고 각 문제에 적합한 답을 고르시오.  비만과 무월경 기왕력이 있는 45세 여자가 최근 3개월 동안 지속적 근육 쇠약을 호소하였다. 혈액검사 결과 코르티코트로핀분비호르몬(corticotropin-releasing hormone) 수치 감소와 코티솔(cortisol) 수치 증가가 나타났으며, 덱사메타손(dexamethasone) 투여로도 이 두 호르몬의 수치가 개선되지 않았다. 이 환자의 질환명은?",Choice 2,애디슨병(Addison’s disease),쿠싱증후군(Cushing’s syndrome),크롬친화세포종(pheochromocytoma),고알도스테론혈증(hyperaldosteronism),워터하우스- 프리데릭센증후군(Waterhouse- Friderichsen syndrome)
nurse,자궁내막을 변화시켜 수정란의 착상을 방해함으로써 임신을 예방하는 피임방법은?,Choice 4,콘돔,페미돔,질 살정제,자궁내장치,질외사정법
dentist,골격근의 이완이 일어날 때 근형질에서 칼슘이온이 이동 하는 장소와 방법은?,Choice 5,골지체 - 확산,골지체 - 능동수송,미토콘드리아 - 확산,근형질세망 - 확산,근형질세망 - 능동수송
dentist,유치의 조기탈락을 보이는 전신 질환은?,Choice 2,팔로네증후(tetralogy of Fallot),저인산효소증(hypophosphatasia),골형성부전증(osteogenesis imperfecta),두개안면이형성증(craniofacial dysostosis),쇄골두개이형성증(cleidocranial dysostosis)
doctor,의사면허 취득이 가능한 사람은?,Choice 4,금치산자,한정치산자,대마 중독자,파산선고를 받은 자,향정신성의약품 중독자
dentist,종창을 동반하는 급성치근단농양에서 치조골지지는 양호하고 치주낭깊이는 정상이며 근관을 통해 배농이 되지 않을 때 응급처치법은?,Choice 3,발치,치주소파술,절개와 배농,수산화칼슘을 사용한 근관충전,calcium silicate cement를 사용한 근관충전
nurse,신종인플루엔자의 전파를 차단하기 위한 방법은?,Choice 1,마스크 착용,매개동물 박멸,깨끗한 식수 공급,위생적인 음식 제공,기피제 처리를 한 의복 착용
nurse,"폐암과 흡연의 연관성을 파악하기 위해, 폐암에 이환된 집단과 이환되지 않은 집단을 선정한 후 각 집단에서의 과거 흡연 여부를 비교하였다. 이때 활용한 역학적 연구방법은?",Choice 3,단면 연구,사례 연구,환자- 대조군 연구,후향적 코호트 연구,전향적 코호트 연구
doctor,"2세 남아가 백혈병으로 항암치료를 받아왔는데 더 이상 반응을 보이지 않아 보호자에게 충분한 설명을 하고 항암치료는 중단하기로 했다. 현재 인공호흡기를 통해 호흡은 안정적으로 유지되고 있다. 1주 전부터 의식이 없어지고 다발장기부전이 악화되어 회생 가능성이 없고 사망이 임박한 상태이다. 아버지는 1년 전 산업재해로 사망했고, 현재 어머니와 친할머니와 함께 살고 있다. 담당 의사는 두 명의 보호자에게 아이가 임종기에 들어갔다는 사실을 설명했다. 어머니와 할머니는 더 이상 희망을 갖고 버틸 수 없다면서 담당 의사에게 연명의료 중단을 요구하여 이 내용을 의무기록에 명시했다. 담당 의사가 취해야 할 다음 조치는?",Choice 5,호스피스 전담 치료를 이용할 수 있음을 어머니에게 설명,어머니에게 충분히 설명하고 동의서를 받은 후 연명의료 중단,어머니와 할머니에게 설명하고 동의서를 받은 후 연명의료 중단,환자의 의사를 알 수 없으니까 연명의료를 중단할 수 없다고 설명,해당 분야 전문의 1명과 함께 어머니의 연명의료중단의사와 환자의 임종과정을 확인하고 연명의료 중단
doctor,인년(person-year) 을 이용하여 이환지표를 구할 수 있는 연구방법은?,Choice 5,생태학적 연구,사례 연구,단면 연구,환자- 대조군 연구,코호트 연구
doctor,"새로 지은 건물 내 동물사료 연구실에서 폐렴으로 추정되는 환자가 3명 발생하였다. 이후 같은 건물에서 52명의 호흡기질환 의심자가 추가로 확인되어 모두 격리되었다. 37.5℃ 이상의 발열, 오한, 전신쇠약, 두통을 호소하였고, 가슴 X선사진에서 폐렴이 추정되었다. 객담 배양검사, 폐기능검사 결과 특이소견은 발견되지 않았다. 환자가 발생한 건물의 4～7층은 서로 공기가 순환되는 구조로 각 층의 공기 중 먼지에서 내독소가 높은 농도로 검출되었다. 환자들은 치료 없이 2일 안에 증상이 개선되었고, 사람 간 전파가 추가로 관찰되지 않아 모두 격리해제 후 퇴원하였다. 의심되는 질환은?",Choice 4,레지오넬라병,마초저장고농부병,빌딩증후군,유기먼지독성증후군,브루셀라증
nurse,급성호흡곤란증후군 환자에게 인공호흡기로 호기말양압을 적용하고 있을 때 합병증으로 나타날 수 있는 사정결과는?,Choice 1,혈압 저하,소변량 증가,대사성 알칼리증,흉부 타진 시 탁음,청진 시 호흡음 증가
pharm,다음 사례를 읽고 각 문제에 적합한 답을 고르시오. 조현병을 진단받고 할로페리돌(haloperidol) 로 치료를 시작한 21세 남자에게 추체외로증후군 발생으로 근육긴장이상(dystonia) 이 나타났다. 이 환자에게 할로페리돌을 다른 약물로 변경하고자 할 때 적절한 것은?,Choice 3,클로자핀(clozapine),파록세틴(paroxetine),쿠에티아핀(quetiapine),페르페나진(perphenazine),클로르프로마진(chlorpromazine)
nurse,"패혈증 환자의 사정결과가 다음과 같을 때 우선적인 중재는?• 심한 호흡곤란, 의식수준 저하, 창백한 피부• 맥박 110회/분, 수축기 혈압 70 mmHg • 흉부 X선 검사 시 양쪽 폐 부위가 하얗게 나타남• 동맥혈가스분석: 이산화탄소분압 70 mmHg 산소분압 50 mmHg, pH 7.18산소포화도 65% ",Choice 3,비위관 삽입,항응고제 투여,인공호흡기 적용,폐기능검사 실시,흉부물리요법 제공
doctor,"11세 여아가 집중을 하지 못하는 것 때문에 병원에 왔다. 집중을 요하는 수학공부를 싫어하고
가방챙기기, 숙제하기 등의 일상적인 활동을 자주 잊어버린다고 하였다. 상대방 말을 잘 듣지
않고, 시험 볼 때도 실수 때문에 많이 틀리고 작은 소리에도 쉽게 주의가 산만해진다고 하였다.
연필이나 노트 등을 자주 잃어버렸다. 진단은?",Choice 5,학습장애,행동장애,간헐폭발장애,적대적반항장애,주의력결핍과다활동장애
pharm,52세 남자에게 진균감염을 치료하기 위해 암포테리신B(amphotericin B) 를 투여할 예정이다. 현재 사용하는 약물은 다음과 같다. 암포테리신B와의 병용투여로 급성세뇨관괴사(acute tubular necrosis) 의 위험이 증가할 수 있는 약물은?[사용약물] 졸피뎀(zolpidem) 암로디핀(amlodipine) 겐타마이신(gentamicin) 메트로니다졸(metronidazole) 아세트아미노펜(acetaminophen) ,Choice 3,졸피뎀,암로디핀,겐타마이신,메트로니다졸,아세트아미노펜
nurse,임신한 경험이 없는 Rh- 여자가 임신 6주를 확인받았다. 배우자가 Rh+인 경우 적절한 중재는?,Choice 5,치료적 유산을 권장한다.,임신 초기에 양수천자를 한다.,임신 중 주기적으로 수혈을 한다.,임신 중기에 태아 교환수혈을 한다.,임신 28주에 예방적으로 면역글로불린을 투여한다.
pharm,38세 여자가 평소 숨이 차고 심장이 뛰며 죽을 것 같은 극도의 공포와 절박감을 나타냈고 공황장애로 진단받았다. 적절한 약물은?,Choice 3,졸피뎀(zolpidem),트라조돈(trazodone),파록세틴(paroxetine),히드록시진(hydroxyzine),아미트리프틸린(amitriptyline)
doctor,27세 여자가 외출할 때마다 화려하게 꾸미고 자신이 대화 주제에서 빠지면 기분이 나빠지고과장된 표현을 자주 사용하는 편이다. 잘 알지 못하는 사람에게도 과하게 친근감을 표시하며 크게슬프지 않은데도 주체할 수 없을 정도로 흐느껴 우는 모습을 보인다. 인격장애의 유형은?,Choice 2,경계성,연극성,편집성,반사회성,자기애성
doctor,병원에서 금연구역과 흡연구역의 지정기준은?,Choice 2,진료 공간을 금연구역으로 지정,시설 전체를 금연구역으로 지정,건물의 외부 비상통로 전체를 흡연구역으로 지정,보호자 대기실 일부를 구획하여 흡연구역으로 지정,층별로 별도의 흡연시설을 설치하여 흡연구역으로 지정
doctor,17세 여자가 성폭력 피해자로 응급실에 왔다. 6시간 전에 강간을 당하였다고 한다. 성매개감염 예방을 위하여 투여해야 할 약제는?,Choice 4,퍼메트린,아시클로버,플루코나졸,세프트리악손,벤자틴페니실린
pharm,"15환 구조를 지닌 염기성 마크로라이드류 항생물질로, 클라미디아속, 나이세리아속 등 그람음성균에 강한 항균활성을 나타내는 것은?",Choice 4,조사마이신(josamycin),스피라마이신(spiramycin),미데카마이신(midecamycin),아지트로마이신(azithromycin),에리트로마이신(erythromycin)
nurse,정상 임신 경과를 보이는 임신 5개월 된 임부가 아기의 성장발달에 대해 물어볼 때 간호사의 설명으로 옳은 것은?,Choice 4,“아기의 성별은 아직 확인할 수 없습니다.”,“아기 발바닥 표면에 지문이 모두 형성되어 있습니다.”,“아기의 솜털은 사라지고 머리카락이 풍성해져 있습니다.”,“아기 외모는 거의 완성되어 있고 태아 움직임이 느껴질 겁니다.”,“아기 체중은 250 g 정도이며 곧 심장도 뛰기 시작할 겁니다.”
pharm,정제의 제조과정에서 마손도시험이 필요한 시기는?,Choice 4,원료 혼합 후,과립 건조 후,과립 혼합 후,타정 후,코팅 후
doctor,좌석이 좁은 항공기 일반석에 오랫동안 앉아 있던 승객에게 발생할 수 있는 질환은?,Choice 4,청색증(cyanosis),폐부종(pulmonary edema),고공저산소증(high- altitude hypoxia),깊은정맥혈전증(deep vein thrombosis),폐동맥고혈압(pulmonary arterial hypertension)
nurse,"환자가 초조하여 안절부절못하고, 거칠게 호흡하며, 손을 떨면서 간호사의 설명에 집중하지 못하고 있다. 우선적인 간호중재는?",Choice 2,홍수법을 적용한다.,대상자 옆에 함께 있어준다.,새로운 불안관리 기술을 개발하도록 한다.,불안이 발생하기 직전의 생각이나 감정을 확인한다.,걱정하고 있는 것에 대해 구체적으로 이야기하도록 한다.
doctor,의원을 운영 중인 원장 ‘A’는 허리통증에 대한 최신 치료법을 광고하고 있다. ‘A’는 의원의 홈페이지와 사회 관계망 서비스에 자신의 방법이 허리통증 치료에 반드시 효과가 있다는 내용을 지속적으로 광고하였다. 의원이 받을 수 있는 조치는?,Choice 5,조치 없음,경고,벌금 부과,과태료 부과,1년의 범위에서 의료업 정지
pharm,호흡기로의 투과율이 높은 약물로서 다제내성결핵(multidrug-resistant tuberculosis) 의 치료에 사용되는 것은?,Choice 4,bleomycin,cephalexin,doxycycline,levofloxacin,methicillin
nurse,「후천성면역결핍증 예방법」상 후천성면역결핍증의 예방 ∙관리와 그 감염인의 보호 ∙ 지원 또는 치료를 위하여 필요한 전문진료기관 또는 연구기관을 설치 ∙ 운영할 수 있는 자는?,Choice 3,시 ∙ 도지사,시장 ∙ 군수 ∙ 구청장,보건복지부장관,질병관리본부장,식품의약품안전처장
dentist,아래턱뒤정맥(retromandibular v.)의 뒤가지와 결합하여 바깥목정맥(external jugular v.)을 형성하는 정맥은?,Choice 4,혀정맥(lingual v.),얼굴정맥(facial v.),앞목정맥(anterior jugular v.),뒤귓바퀴정맥(posterior auricular v.),얕은관자정맥(superficial temporal v.)
doctor,한 콜센터에서 직무스트레스로 우울장애가 생긴 근로자가 퇴직 또는 휴직하는 사례가 지난 6개월 동안 증가하였다. 전체 직원을 대상으로 보건관리자가 취할 수 있는 우울장애의 이차예방은?,Choice 2,탄력적 근무시간제 적용,우울증의 정기 선별검사,직무 의사결정에 근로자 참여,업무 복귀 시 업무적합성 평가,직무스트레스 평가와 고위험군 선별
nurse,20년 동안 하루 한 갑 이상을 흡연하고 있으며 향후 6개월 이내에 금연계획이 없는 대상자에게 범이론 모형(transtheoretical model) 을 적용하여 제공해야 할 간호중재는?,Choice 3,금연서약서 작성,자조모임 참여유도,금연 필요성 교육,금연 자가관리방법 교육,흡연욕구 대처방법 교육
nurse,같은 장소에서 비슷한 장난감을 가지고 주변 아동의 영향을 받지 않고 따로 노는 놀이는?,Choice 2,단독놀이,평행놀이,연합놀이,협동놀이,단체놀이
dentist,아말감 수복을 위한 유구치 11급 와동의 인접면 형성에 관한 설명으로 옳은 것은?,Choice 4,치은벽에는 사면(bevel)을 형성한다.,치은벽의 폭은 2 ~ 3 mm 정도로 형성한다.,인접면 와동의 축벽과 설측벽은 둔각이 되게 형성한다.,치수축벽선각(axiopulpal line angle)은 둥글게 형성한다.,인접면 쪽의 와동치면각(cavosurface angle)은 둔각이 되게 형성한다.
nurse,"다음에서 설명하는 것은?병원에 입사한 뒤 간호사로서 역할을 수행하기 위해 구체적인 지식, 기술, 태도, 가치, 규범, 문화, 윤리적 표준 등을 습득하고 내면화하여 발달시켜가고 있다.",Choice 5,팀빌딩,조직화,경력개발,직무수행,전문직 사회화
nurse,"반코마이신내성 장구균(Vancomycin-Resistant Entercoccus, VRE) 의 감염 확산 차단을 위한 간호로 옳은 것은?",Choice 2,병실을 음압 상태로 유지한다.,환자 접촉 전에 장갑과 가운을 착용한다.,병실에 들어가기 전에 N95 마스크를 착용한다.,혈압계는 병동에 입원한 환자와 같이 사용한다.,환자에게 사용한 물품은 일반의료폐기물 전용용기에 버린다.
pharm,국민건강보험 청구 자료를 활용하여 고혈압 환자의 복약이행도(medication adherence) 를 측정하는 가장 적절한 방법은?,Choice 4,알약 수 계수(pill count) 측정법,환자의 자가보고(self- report) 측정법,혈중 생물학적 표지자(biological marker) 측정법,약물소지율(medication possession ratio) 측정법,전자투약모니터(electronic medication monitors) 측정법
dentist,복합레진 수복 후 발생한 법랑질 변연부의 백색 미세 파절선의 원인은?,Choice 4,적층 충전,습윤접착술,기저재(base) 사용,빠른 고광도 광중합,치아와 레진의 색상 부조화
doctor,"43세 남자가 2일 전부터 양쪽 허벅지에 멍이 생겨서 병원에 왔다. 2개월 전부터 깊은정맥혈전증으로경구 항응고제를 복용하고 있었다. 혈액검사 결과는 다음과 같았다. 투여해야 할 것은?혈색소 11 g/dL, 적혈구용적률 38%, 백혈구 5,400/mm^3, 혈소판 150,000/mm^3 프로트롬빈시간(INR) 6.0,부분트롬보플라스틴시간 35초(참고치, 26.3～39.4) ",Choice 1,비타민 K,혈소판농축물,혈액응고인자 VIII,프로타민황산염,단백질 C
nurse,"옥시토신 유도분만 중인 40주 초산부가 통증을 호소하여 사정한 결과는 다음과 같다. 우선적인 간호중재는?• 자궁경관: 개대 2 cm, 소실 70% • 자궁수축: 간격 2분 미만, 기간 90초 이상, 강도 100 mmHg ",Choice 4,관장 시행,양막절개술 실시,자궁근이완제 투여,옥시토신 투여 중단,프로스타글란딘 질정 투여
dentist,"다음의 특성을 지닌 구강보건진료제도는?
· 지역별 소득계층별로 구강진료자원이 편재될 가능성이 높음 · 구강진료비가 급속하게 상승할 가능성 존재 · 치과의사가 진료수가를 자율적으로 결정 · 정부가 세금면제, 자금지원 등의 간접적인 방법으로 제도의 문제점을 해결하기 위해 개입하기도 함",Choice 3,단속구강진료제도,전통구강진료제도,민간주도구강진료제도,혼합구강보건진료제도,정부관장구강보건진료제도
nurse,「농어촌 등 보건의료를 위한 특별조치법」상 보건진료 전담 공무원의 의료행위의 범위에 해당하는 것은?,Choice 4,예방접종 합병증 치료,이상분만 시의 분만 도움,희귀질환에 대한 의약품 투여,질병상태를 판별하기 위한 진찰,급성기 질환자의 요양지도 및 관리
doctor,"45세 여자가 급성 코곁굴염으로 세파클로르(cefaclor) 를 복용한 30분 후에 두드러기가 발생하여 왔다. 2년 전에도 감기약 복용 후 비슷한 증상이 발생했다고 하였다. 혈압 120/80 mmHg, 맥박 80회/분, 호흡 16회/분, 체온 36.5℃였다. 진단을 위한 검사는?",Choice 2,침전항체,진피내검사,피부접촉검사,약물 기관지유발검사,혈청 총면역글로불린E
dentist,일시적인 허혈과 치은조직의 수축을 일으켜 치은열구 삼출액이 스며나오는 것을 조절하는 지혈제의 주요 성분은?,Choice 4,염화칼륨(KCl),염화칼슘(CaCl2),염화나트륨(NaCl),염화알루미늄(AlCl3),염화마그네슘(MgCl2)
pharm,복약이행도 측정 방법 중 간단하고 비용이 적어 임상현장에서 가장 유용한 방법이나 환자에 의해 결과가 쉽게 왜곡될 수 있는 것은?,Choice 1,환자 설문,환자의 증상 완화 평가,환자의 혈중 약물 농도 측정,약물소지율(medication possession ratio) 평가,전자투약모니터(electronic medication monitor)
doctor,"45세 남자가 5일 전부터 열이 나고 전날부터 숨이 차서 병원에 왔다. 2주 전 주말농장에 다녀왔다.혈압 100/80 mmHg, 맥박 110회/분, 호흡 22회/분, 체온 37.0℃였다. 결막 충혈과 갈비척추각 압통이있었다. 검사 결과는 다음과 같았다. 진단은?정맥혈: 백혈구 23,000/mm^3, 혈소판 40,000/mm^3, 혈액요소질소 70 mg/dL,  크레아티닌 4.8 mg/dL, 동맥혈: pH 7.25, PaCO2 24 mmHg, PaO2 60 mmHg, HCO3- 13 meq/L  소변: 단백질 (3+), 적혈구 (2+), 백혈구 (-) ",Choice 5,렙토스피라병,츠츠가무시병,삼일열 말라리아,깔때기콩팥염,출혈열콩팥증후군
dentist,뼈조직의 주된 유기성분인 아교질을 합성하는 입방형이거나 원주형 모양인 세포는?,Choice 2,뼈세포,뼈모세포,뼈파괴세포,연골세포,지방세포
pharm,"Pyrethrin I을 함유하며 농업용, 가정용 살충제로 사용하는 생약은?",Choice 5,괴화,신이,정향,사프란,제충국
nurse,「의료법」상 의료인 보수교육을 실시할 수 있는 기관은?,Choice 1,수련병원,질병관리청,국민건강보험공단,건강보험심사평가원,진료심사평가위원회
pharm,"달걀에 미량으로 잔류된, 유기염소계 살충제 성분인 피프로닐(fipronil) 을 선택적으로 측정할 수 있는 기체크로마토그래피 검출기는?",Choice 2,열이온검출기(TID),전자포획검출기(ECD),열전도도검출기(TCD),불꽃광도검출기(FPD),불꽃이온화검출기(FID)
doctor,2015년 세계보건기구 산하 국제암연구소(IARC) 에서는 가공육을 인체발암물질(Group 1) 로 선정하였다. Group 1으로 분류할 때 가장 중요한 근거는?,Choice 1,역학연구,동물실험,세포실험,발암기전,유전자 손상
dentist,"아침에 장착할 때는 좋은 유지력을 보였던 총의치가 오후나 특히 식사 후에 헐거워지고, 주로 편측의 지지조직에 자극이나 염증을 유발하였다. 원인은?",Choice 3,부족한 변연봉쇄,과도하게 높은 수직고경,조기접촉을 보이는 교합,과도하게 짧은 의치변연의 길이,의치상과 지지조직 간 적합불량
doctor,35세 여자가 두드러기로 병원에 왔다. 땅콩을 먹고 20분 후에 가려움증을 동반한 두드러기가 발생하였다. 과거에도 비슷한 병력이 있었다. 땅콩에 대한 피부바늘따끔검사(skin prick test) 는 양성이었다. 발생 기전은?,Choice 2,보체 매개,면역글로불린E 매개,직접적인 비만세포자극,브라디키닌(bradykinin) 매개,아라키돈산(arachidonic acid) 대사 변형
dentist,"「지역보건법」상 보건소 설치의 근거 규정은 다음과 같다. 괄호 안에 들어갈 것은?
지역주민의 건강을 증진하고 질병을 예방 · 관리하기 위하여 시 · 군 · 구에 대통령령으로 정하는 기준에 따라 해당 지방자치단체의 ( )(으)로 보건소를 설치한다.",Choice 2,고시,조례,지침,시행령,시행규칙
doctor,응급환자 5명이 비슷한 시각에 차례로 응급실로 실려 왔다. 응급실 의사 A는 5명 모두에게 응급의료를 실시해야 한다. 응급의료를 행하면서 A는 누구에게 우선순위를 두어야 하는가?,Choice 1,위급한 환자,나이 많은 환자,먼저 도착한 환자,먼저 동의를 받은 환자,생존가능성이 높은 환자
nurse,자살예방센터를 방문한 대상자가 “몇 개월 전 교통사고로 함께 차에 타고 있던 어머니가 돌아가셨어요. 저만 살았다는 것이 견딜 수가 없어요. 이렇게 사는 것이 의미가 있을까요?”라고 말하였다. 간호사의 반응으로 옳은 것은?,Choice 1,“자살을 생각하고 있나요?”,“모든 사람은 언젠가 다 죽어요.”,“시간이 지나면 곧 나아질 거예요.”,“용기를 잃지 말고 기운을 내세요.”,“그런 생각 하지 말고 마음을 굳게 가져요.”
